Region,HDI_1990,HDI_1991,HDI_1992,HDI_1993,HDI_1994,HDI_1995,HDI_1996,HDI_1997,HDI_1998,HDI_1999,HDI_2000,HDI_2001,HDI_2002,HDI_2003,HDI_2004,HDI_2005,HDI_2006,HDI_2007,HDI_2008,HDI_2009,HDI_2010,HDI_2011,HDI_2012,HDI_2013,HDI_2014,HDI_2015,HDI_2016,HDI_2017,HDI_2018,GDP_1990,GDP_1995,GDP_2000,GDP_2005,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018
Arab States,0.556,0.559,0.565,0.571,0.576,0.581,0.587,0.594,0.599,0.607,0.613,0.62,0.624,0.63,0.64,0.647,0.653,0.661,0.667,0.671,0.676,0.681,0.687,0.688,0.691,0.695,0.699,0.701,0.703,10653,10974,12703,14060,15541,15624,16328,16404,16378,16510,16704,16551,16613
East Asia and the Pacific,0.519,0.525,0.534,0.542,0.549,0.559,0.568,0.576,0.581,0.589,0.597,0.604,0.613,0.623,0.632,0.641,0.652,0.664,0.672,0.681,0.691,0.7,0.707,0.714,0.721,0.727,0.733,0.737,0.741,2307,3411,4299,6078,9191,9877,10529,11189,11841,12505,13187,13927,14699
Europe and Central Asia,0.652,0.65,0.646,0.643,0.638,0.642,0.646,0.651,0.657,0.66,0.667,0.672,0.681,0.688,0.695,0.703,0.712,0.718,0.723,0.726,0.735,0.744,0.75,0.759,0.766,0.77,0.772,0.776,0.779,9267,6688,7645,10135,12114,12969,13338,14023,14419,14675,14905,15573,15872
Latin America and the Caribbean,0.628,0.634,0.639,0.644,0.65,0.656,0.662,0.669,0.675,0.68,0.687,0.692,0.696,0.697,0.703,0.707,0.713,0.719,0.726,0.727,0.731,0.737,0.74,0.748,0.752,0.754,0.756,0.758,0.759,9935,10696,11481,12189,13784,14252,14498,14750,14777,14703,14555,14649,14715
South Asia,0.441,0.447,0.454,0.46,0.466,0.473,0.48,0.486,0.492,0.499,0.505,0.51,0.516,0.527,0.536,0.544,0.554,0.563,0.569,0.575,0.585,0.593,0.601,0.607,0.617,0.624,0.634,0.639,0.642,2427,2745,3188,3848,4799,4955,5056,5249,5526,5799,6207,6530,6844
Sub-Saharan Africa,0.402,0.404,0.404,0.406,0.407,0.411,0.415,0.418,0.422,0.425,0.423,0.426,0.434,0.444,0.451,0.459,0.469,0.477,0.486,0.494,0.498,0.505,0.512,0.521,0.527,0.532,0.535,0.539,0.541,2705,2426,2500,2883,3294,3365,3418,3504,3582,3591,3544,3546,3552
World,0.598,0.601,0.601,0.608,0.611,0.617,0.622,0.624,0.631,0.636,0.641,0.646,0.651,0.657,0.663,0.669,0.676,0.682,0.688,0.691,0.697,0.703,0.708,0.713,0.718,0.722,0.727,0.729,0.731,8958,9242,10379,11712,13185,13559,13859,14166,14486,14804,15123,15514,15893
